Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Satyrium saepium	1.189	0.318681318681319	0.105454970576651	-0.0567765567765568	0.778114738789995	1.309	0.4186	4.088	3.669	0.5138	0.08425	0.9082	0.8272	-0.7962	-9.61	7.919	18.984	NA	32	26	1993	2018
Satyrium sylvinus	1.689	0.724053724053724	3.23037204264898e-05	-0.152014652014652	0.447390387137482	1.797	0.4871	6.703	6.264	0.057488	-0.5143	0.5584	1.0562	-4.474	-9.232	2.0569	11.884	NA	32	26	1993	2018
Satyrium tetra	0.886	0.736363636363636	0.0133753659145312	-0.0636363636363636	0.860103507719015	1.378	0.1606	10.81	10.66	0.6211	-0.041313	1.367	1.441	4.342	-8.302	17.834	22.21	NA	14	26	1993	2018
Satyrium titus	1.951	0.798478413054193	0	0.327874204596467	2.92068352614248e-06	1.398	0.7953	2.345	1.547	0.3097	0.001307	0.6032	0.6351	-0.80756	-4.706	3.418	7.895	NA	232	26	1993	2018
Satyrodes appalachia	1.975	0.72540148024019	0	0.205569383178491	0.0106497608995423	2.113	1.2529	3.486	2.216	0.3397	0.05382	0.6063	0.5486	1.44202	-3.2626	6.4266	9.445	NA	187	26	1993	2018
Satyrodes eurydice	1.489	0.787287441365384	0	-0.258941941947165	0.00279287063628408	2.296	1.356	3.727	2.394	0.39209	-0.02162	0.7683	0.7944	-1.558	-6.4422	3.715	10.166	NA	156	26	1993	2018
Siproeta stelenes	1.997	-0.0357142857142857	0.963492063492064	0.0357142857142857	0.963492063492064	0.2507	0.01988	3.097	3.078	0.8415	0.11464	1.513	1.352	-1.4327	-10.614	8.79	18.42	NA	10	26	1993	2018
Spathilepia clonius	18.919	NA	NA	NA	NA	0.04404	0	Inf	Inf	-0.327	-9086	9081	18167	-25.89	-100	Inf	Inf	NA	1	17	1995	2016
Speyeria adiaste	1.419	NA	NA	NA	NA	35.91	0.04329	31234	31234	-0.4977	-2.823	1.802	4.626	-5.172	-14.03	4.555	18.59	NA	1	20	1998	2018
Speyeria aphrodite	1.392	0.41955851467894	3.56589949491413e-07	-0.00306090531301667	0.97145556298738	1.3906	0.4464	3.727	3.236	0.3631	-0.09779	0.8051	0.8783	-1.971	-7.4559	4.28	11.669	NA	159	26	1993	2018
Speyeria atlantis	1.205	0.708854913202739	0	-0.0925943621595795	0.382011729049906	3.409	1.785	6.289	4.509	0.2224	-0.08083	0.5097	0.5834	-1.63006	-8.845	5.445	13.569	NA	102	26	1993	2018
Speyeria callippe	1.334	0.931010452961673	0	0.295121951219512	0.0614010947885629	1.1002	0.3684	3.19	2.827	0.56	0.03677	0.9666	0.9274	-1.1082	-6.759	5.48	12.224	NA	47	26	1993	2018
Speyeria coronis	1.287	0.477606837606838	0.0145270161810444	-0.0413675213675214	0.8410934067996	0.8774	0.2973	2.501	2.204	0.4579	-0.023803	0.919	0.9071	-3.781	-8.37	1.5019	10.25	NA	32	26	1993	2018
Speyeria cybele	1.792	0.562133486271417	0	-0.101648522338177	0.101947792155973	3.271	1.2798	8.357	7.092	0.5791	0.22117	0.9445	0.7424	-0.506	-5.434	4.778	9.932	NA	310	26	1993	2018
Speyeria diana	1.793	0.315217391304348	0.142865731693525	-0.466403162055336	0.026102823763628	1.058	0.3239	3.394	3.073	0.2935	-0.2565	0.7932	1.0454	-1.9742	-8.335	6.715	14.6	NA	25	26	1993	2018
Speyeria edwardsii	1.605	0.927272727272727	0.000130162394465275	-0.818181818181818	0.0068111327718268	0.8064	0.1782	3.603	3.418	0.5645	-0.02949	1.144	1.2295	0.7346	-5.297	6.761	11.972	NA	11	26	1993	2018
Speyeria egleis	0.928	0.961538461538462	0	-0.901098901098901	0	3.345	0.4918	23.63	23.12	0.5425	-0.16668	1.208	1.386	3.5932	-5.513	13.914	19.11	NA	14	26	1993	2018
Speyeria hydaspe	1.486	0.782456140350877	0.000110542953450486	-0.345614035087719	0.147477852888651	3.212	0.9493	10.99	10.064	0.3279	-0.184612	0.8131	1.0017	0.46816	-6.276	8.707	15.286	NA	20	26	1993	2018
Speyeria idalia	1.253	0.87746371275783	3.28455148827388e-08	-0.455156608097785	0.00734986228473951	6.039	1.605	21.13	19.51	0.27905	-0.6807	1.2199	1.798	9.469	-4.554	23.1923	26.91	NA	36	26	1993	2018
Speyeria mormonia	1.148	0.946666666666667	7.54497098633814e-07	-0.409230769230769	0.038895060092205	7.255	1.4057	36.04	34.59	-0.13124	-0.8433	0.6217	1.503	-0.4718	-6.737	7.193	14.01	NA	26	26	1993	2018
Speyeria nokomis	512.034	NA	NA	NA	NA	1.509e-08	0	Inf	Inf	-8.812	-92176	92127	184304	-76.8	-100	Inf	Inf	NA	1	13	2001	2016
Speyeria zerene	1.389	0.93984962406015	5.59971221262217e-06	-0.0736842105263158	0.757611736011335	0.9674	0.2771	3.384	3.108	0.7592	0.25142	1.228	0.9891	1.04156	-3.634	5.575	9.907	NA	20	26	1993	2018
Staphylus ceos	1.361	0.964285714285714	0.00277777777777778	-0.321428571428571	0.497619047619048	0.2029	0.02559	1.468	1.441	1.291	0.6972	1.929	1.134	-0.44382	-5.032	6.071	10.904	NA	7	26	1993	2018
Staphylus hayhurstii	2.5	0.955858276310818	0	-0.436946391839133	4.34102704725172e-05	3.291	1.514	6.895	5.374	-0.14041	-0.5063	0.2205	0.7214	0.9038	-2.471	4.66	7.091	NA	93	26	1993	2018
Staphylus mazans	4.899	0.903030303030303	0.000880224994754143	-0.587878787878788	0.0802150639781515	28.19	2.015	358.8	356.7	-0.3486	-1.263	0.584	1.852	12.718	-1.78833	28.53	31.64	NA	10	26	1993	2018
Strymon acis	2.969	0.5	1	0.5	1	1.254	0.1121	13.88	13.77	0.43	-0.6959	1.494	2.089	1.737	-9.472	13.801	13.27	NA	3	26	1993	2018
Strymon albata	20.18	1	1	-1	1	0.03325	0	Inf	Inf	-6.295e-05	-4.373	4.37	8.743	-38.51	-100	Inf	Inf	NA	2	22	1993	2016
Strymon alea	119.867	NA	NA	NA	NA	1.003	0	Inf	Inf	0.003857	-21838	21820	43658	-14.1	-100	Inf	Inf	NA	1	13	2004	2016
Strymon bazochii	38.293	1	1	-1	1	2.097	0.07415	56.69	56.62	0.3755	-0.5342	1.286	1.82	11.022	-6.004	31.72	37.73	NA	2	22	1993	2016
Strymon istapa	1.597	0.802597402597403	4.16568647331945e-07	-0.844766997708174	1.60344348080736e-07	3.031	0.7852	11.1	10.361	0.13918	-0.37608	0.6545	1.0629	4.8961	-2.6445	14.36	17.61	NA	39	26	1993	2018
Strymon martialis	3.699	0.952380952380953	0.00114087301587302	0.523809523809524	0.196626984126984	8.667	0.6128	112.2	111.5	-0.4008	-1.238	0.4721	1.754	4.155	-7.7741	16.71	22.03	NA	10	26	1993	2018
Strymon melinus	1.844	0.841558387079859	0	-0.196883575411183	0.000364890525807452	1.1084	0.5564	2.018	1.479	0.4274	0.10655	0.7542	0.6275	0.5629	-4.331	5.524	9.405	NA	389	26	1993	2018
Strymon rufofusca	124.36	NA	NA	NA	NA	1.238	0.08531	18.91	18.83	0.08489	-0.695	0.8611	1.556	3.242	-17.8	29.67	47.47	NA	1	17	1995	2016
Systasea pulverulenta	128.434	0.827272727272727	0.0031151751422363	-0.945454545454545	0	1.601	0.2989	7.782	7.517	0.12794	-0.4607	0.7195	1.161	0.08523	-8.038	8.428	15.65	NA	11	26	1993	2018
Systasea zampa	3.85	0.927272727272727	0.000130162394465275	-0.139393939393939	0.707203785571239	0.1482	0.02284	0.9083	0.8855	0.8322	0.2456	1.389	1.1334	-1.47337	-6.941	5.9062	13.845	NA	10	26	1993	2018
Texola elada	0.968	0.836363636363636	0.00256466229904208	-0.536363636363636	0.0936424967223946	0.5084	0.07981	3.651	3.571	1.091	0.5206	1.623	1.1199	1.7793	-9.9801	11.471	18.996	NA	11	26	1993	2018
Thorybes bathyllus	2.409	0.514240281378789	0	0.198359719442995	0.00563194186928017	1.285	0.7385	2.211	1.488	0.2426	-0.07863	0.5735	0.6338	-0.4312	-5.5354	5.173	10.556	NA	217	26	1993	2018
Thorybes confusis	4.591	0.761276223776224	0	-0.175568181818182	0.161508068205698	1.14	0.5095	2.442	1.935	0.205	-0.09128	0.4953	0.5794	0.16173	-4.076	5.1008	8.888	NA	74	26	1993	2018
Thorybes drusius	0.826	0.9	0.0833333333333333	-0.6	0.35	5.76	0.1167	344.2	344	0.0163	-1.037	1.0245	2.095	-5.138	-14.657	2.985	12.595	NA	5	26	1993	2018
Thorybes mexicanus	1.359	0.952380952380953	0.00114087301587302	-0.976190476190476	0.000396825396825397	1.193	0.2167	6.1	5.878	0.4887	-0.01497	1.0331	1.0584	-5.551	-12.003	0.53729	14.574	NA	9	26	1993	2018
Thorybes pylades	1.735	0.0366553421327668	0.538192810506351	-0.658591758847674	0	1.4042	0.676	2.764	2.095	0.23038	-0.06856	0.519	0.5828	-0.7415	-3.982	2.906	6.96	NA	321	26	1993	2018
Thymelicus lineola	0.673	0.901023694501955	0	0.0318179204048769	0.688352248402026	3.963	0.8297	17.202	16.151	0.6364	0.03013	1.1717	1.1519	-5.0173	-14.07	4.9284	18.557	NA	196	26	1993	2018
Timochares ruptifasciatus	67.499	1	1	1	1	0.2389	0.01949	2.862	2.842	0.8954	0.1621	1.633	1.471	0.06845	-10.53	11.95	22.47	NA	2	22	1993	2016
Tmolus echion	52.593	NA	NA	NA	NA	1.357e-36	0	Inf	Inf	-0.6284	-42275	42233	84508	-99.68	-100	Inf	Inf	NA	1	10	1993	2002
Urbanus dorantes	1.881	-0.285268270120259	0.0522906426112362	-0.659111933395005	1.02526374782267e-06	1.0645	0.4948	2.268	1.814	0.4231	0.09185	0.714	0.6233	-1.0567	-7.612	4.734	11.752	NA	61	26	1993	2018
Urbanus procne	1.456	0.5	1	-1	0.333333333333333	72.4	6.324	861.9	855.4	0.3478	-0.3261	1.0409	1.399	21.62	8.374	35.91	31.33	NA	3	22	1993	2016
Urbanus proteus	1.567	0.502620850320326	1.30361940611234e-07	0.375037856726849	0.000124647213025409	1.5255	0.5725	3.966	3.503	0.3657	-0.03526	0.7549	0.7901	2.762	-2.966	8.6617	11.402	NA	121	26	1993	2018
Urbanus teleus	116.728	NA	NA	NA	NA	276557362911	8.498e-19	8.40202799305e+40	8.40202799305e+40	-3.027	-12.42	6.35	18.77	616.7	-94.72	96688	96783	NA	1	16	1993	2010
Vacciniina optilete	125.502	NA	NA	NA	NA	0.001243	8.838e-14	17095608	17095608	4.192	-9.16	17.53	26.69	10.71	-21.6	56.3	77.9	NA	1	17	1999	2018
Vanessa annabella	1.936	0.72142064372919	5.16672127920308e-09	-0.622129258089302	1.55759906887665e-06	0.3912	0.1711	0.8528	0.6829	0.4428	0.12393	0.7503	0.6137	-6.289	-11.031	-0.6883	10.323	NA	60	26	1993	2018
Vanessa atalanta	0.918	0.778332712993635	0	0.0368798153869059	0.461284666267846	1.2235	0.5967	2.45	1.8557	0.6083	0.358689	0.8547	0.51	-1.0606	-4.9463	2.951	7.68	NA	483	26	1993	2018
Vanessa cardui	0.844	0.0288931599488594	0.571778100884787	-0.00378886010362694	0.940903687263055	1.2531	0.4478	3.4319	2.9576	0.3759	-0.01564	0.784	0.8091	0.04873	-6.259	6.178	11.908	NA	449	26	1993	2018
Vanessa virginiensis	1.627	-0.295045028237747	1.2374699063422e-08	0.387568156426913	2.21699704747603e-14	0.789	0.3475	1.8255	1.481	0.4947	0.26083	0.7246	0.4757	-1.7578	-5.333	2.1018	7.374	NA	434	26	1993	2018
Wallengrenia egeremet	1.629	0.771958882566937	0	-0.416493544185042	2.95719412963551e-12	1.1486	0.5292	2.475	1.959	0.5261	0.249471	0.7782	0.5507	0.7855	-4.278	5.99	9.893	NA	312	26	1993	2018
Wallengrenia otho	2.16	0.550587863962755	1.37888142959352e-10	-0.0748362660774876	0.42612894296926	1.028	0.5576	1.826	1.265	0.4882	0.20769	0.7566	0.5595	0.7243	-3.0056	4.547	7.414	NA	136	26	1993	2018
Zestusa dorus	31.741	1	0.0833333333333333	-1	0.0833333333333333	3.427	0.007801	2455	2455	-0.2986	-2.075	1.353	3.428	-0.877	-10.609	11.798	22.41	NA	4	26	1993	2018
Zizula cyna	76.676	0.3	0.683333333333333	-0.9	0.0833333333333333	4.931	0.10627	267	266.8	-0.3101	-1.614	0.8834	2.498	-1.901	-11.369	11.905	29.05	NA	5	26	1993	2018
