Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Erora laeta	83.626	0.928571428571429	0.00223214285714286	-0.976190476190476	0.000396825396825397	0.9288	0.001381	637.2	637.2	0.00477943	-1.779	1.783	3.564	-1.1258	-15.02	14.67	29.28	NA	8	26	1993	2018
Erora quaderna	1.544	0.8	0.333333333333333	-0.4	0.75	2.125	0.04598	179.8	179.8	0.2885	-0.822	1.245	2.046	5.336	-3.251	15.403	17.442	NA	4	26	1993	2018
Erynnis afranius	2.099	0.825174825174825	0.00171859567294698	-0.72027972027972	0.0110205186889633	0.8928	0.1499	5.626	5.478	0.05207	-0.5786	0.675	1.244	-3.343	-9.706	4.294	13.34	NA	13	26	1993	2018
Erynnis baptisiae	1.304	0.944488839900799	0	-0.02487944337283	0.732397387859937	2.081	0.8694	4.624	3.734	0.3968	0.08119	0.6802	0.5971	1.8377	-3.522	7.8673	11.467	NA	223	26	1993	2018
Erynnis brizo	3.135	0.665725578769057	0.000969918276813818	-0.289666854884246	0.190463010756398	3.569	0.7545	14.71	13.95	-7e-07	-0.3733	0.3885	0.7525	3.809	-3.852	12.566	16.29	NA	24	26	1993	2018
Erynnis funeralis	2.025	0.785160790391321	0	-0.435859955619739	2.6487056722398e-05	1.44	0.6674	2.867	2.191	0.1953	-0.103427	0.4834	0.5853	-0.8342	-3.335	2.36	5.526	NA	97	26	1993	2018
Erynnis horatius	1.697	0.511258422082156	0	0.00797894177594243	0.907332849576409	1.5185	0.5794	4.15	3.639	0.4346	0.19796	0.6467	0.465	1.1523	-4.6285	7.167	11.601	NA	261	26	1993	2018
Erynnis icelus	2.725	0.955194218608853	0	0.233672086720867	0.0359941687077275	0.5698	0.2378	1.283	1.042	0.3655	-0.007107	0.7238	0.7561	-2.718	-7.48	2.926	10.331	NA	86	26	1993	2018
Erynnis juvenalis	2	0.476613677584551	4.44793153035723e-07	-0.546676624346527	3.11538929492224e-09	0.8196	0.3939	1.68	1.288	0.4253	-0.001898	0.8203	0.8031	0.3477	-3.096	3.824	6.934	NA	112	26	1993	2018
Erynnis lucilius	1.191	0.977296181630547	8.63218808184979e-06	-0.226006191950464	0.365632627951848	2.546	0.3908	16.04	15.62	0.08215	-0.543244	0.7566	1.282	0.6639	-5.453	8	12.827	NA	19	26	1993	2018
