Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Hesperopsis	alpheus	Hesperiidae	Pyrginae	yes	natural	G4		2	2	2	2							nectar	20	32	26.0	cryptic
Hesperopsis	libya	Hesperiidae	Pyrginae	yes	natural	G5				1	2	singly	cryptic	no				nectar	22	32	27.0	cryptic
Historis	acheronta	Nymphalidae	Limenitidinae	yes	natural	G5						singly						rotting fruit	88	110	99.0	cryptic
Hylephila	phyleus	Hesperiidae	Hesperiinae	yes	both	G5	chrysalis					singly	cryptic	no				nectar	32	38	35.0	cryptic
Hypaurotis	crysalus	Lycaenidae	Theclinae	yes	natural	T1	eggs	1	1	1	1	singly	cryptic	yes				sap, raindrops, honeydew	32	38	35.0	aposematic
Junonia	coenia	Nymphalidae	Nymphalinae	yes	both	G5	adult			2	3	singly	aposematic	yes				nectar	42	70	56.0	aposematic
Junonia	evarete	Nymphalidae	Nymphalinae	yes	natural	G5	adult	3	4	3	4	singly	aposematic	yes				nectar	45	57	51.0	aposematic
Junonia	genoveva	Nymphalidae	Nymphalinae	yes	both	G5	adult						aposematic	yes				nectar	35	57	46.0	aposematic
Kricogonia	lyside	Pieridae	Coliadinae	yes	natural	G5												nectar	38	60	49.0	cryptic
Lampides	boeticus	Lycaenidae	Lycaeninae	no	both	G5													24	32	28.0	cryptic
Lasaia	maria	Riodinidae	Riodininae	yes																		aposematic
Lasaia	sula	Riodinidae	Riodininae	yes	natural	G5													22	32	27.0	aposematic
Leptophobia	aripa	Pieridae	Pierinae	yes									aposematic	no					42	44	43.0	cryptic
Leptotes	cassius	Lycaenidae	Polyommatinae	yes	natural	G5						singly	cryptic	yes				nectar	20	35	27.5	aposematic
Leptotes	marina	Lycaenidae	Polyommatinae	yes	both	G5						singly	cryptic	no		throughout year	April-Sept.	nectar	22	29	25.5	aposematic
Lerema	accius	Hesperiidae	Hesperiinae	yes	both	G5							cryptic	no		throughout year		nectar	32	45	38.5	cryptic
Lerodea	arabus	Hesperiidae	Hesperiinae	yes	both	G5						singly	cryptic	no		February-December		nectar	24	32	28.0	cryptic
Lerodea	dysaules	Hesperiidae	Hesperiinae																25	32	28.5	cryptic
Lerodea	eufala	Hesperiidae	Hesperiinae	yes	both	G5		2				singly	cryptic	no				nectar	25	32	28.5	cryptic
Libytheana	carinenta	Nymphalidae	Libytheinae	yes	both	G5	adult	2	2	2	2	singly	cryptic	no				nectar	35	50	42.5	aposematic
Limenitis	archippus	Nymphalidae	Limenitidinae	yes	both	G5	larva	2	3	2	3	singly	aposematic	yes				mud, dung, carrion, nectar	63	86	74.5	aposematic
Limenitis	arthemis	Nymphalidae	Limenitidinae	yes	both	G5	larva	2	2	2	2	singly	cryptic	yes				nectar, sap, rotting fruit, dung	57	101	79.0	aposematic
Limenitis	lorquini	Nymphalidae	Limenitidinae	yes	natural	G5	larva			1	1		cryptic	yes		April-October		nectar	51	67	59.0	aposematic
Limenitis	weidemeyerii	Nymphalidae	Limenitidinae	yes	both	G5	larva	1	2	1	2	singly	cryptic	yes				nectar, carrion, sap	57	95	76.0	aposematic
Lycaeides	idas	Lycaenidae	Polyommatinae	yes	natural	G5	larva	1	1	1	1	singly						nectar	22	38	30.0	aposematic
Lycaeides	melissa	Lycaenidae	Polyommatinae	yes	both	G5		2	3	2	3		cryptic	yes				nectar	22	35	28.5	aposematic
Lycaena	arota	Lycaenidae	Lycaeninae	yes	both	G5	eggs					singly						nectar	30	35	32.5	aposematic
Lycaena	cupreus	Lycaenidae	Lycaeninae	yes	natural	G5	larva	1	1	1	1	singly	cryptic	yes				nectar	29	31	30.0	aposematic
Lycaena	dione	Lycaenidae	Lycaeninae	yes	natural	G5							cryptic	no				nectar	24	38	31.0	aposematic
Lycaena	dorcas	Lycaenidae	Lycaeninae	yes	natural	G5	eggs	1	1	1	1	singly						nectar	25	32	28.5	cryptic
Lycaena	editha	Lycaenidae	Lycaeninae	yes	natural	G5		1	1	1	1							nectar	22	30	26.0	aposematic
Lycaena	epixanthe	Lycaenidae	Lycaeninae	yes	natural	G5	eggs	1	1	1	1	singly	cryptic	yes				nectar, raindrops	22	25	23.5	cryptic
Lycaena	gorgon	Lycaenidae	Lycaeninae	yes	natural	G3	eggs	1	1	1	1	singly	cryptic	no				nectar	32	38	35.0	cryptic
Lycaena	helloides	Lycaenidae	Lycaeninae	yes	both	G5	eggs						cryptic	no		 May-July, August-October	July-August	nectar	30	38	34.0	aposematic
Lycaena	heteronea	Lycaenidae	Lycaeninae	yes	both	G5	eggs	1	1	1	1	singly						nectar	29	35	32.0	cryptic
Lycaena	hyllus	Lycaenidae	Lycaeninae	yes	natural	G5	eggs					singly	cryptic	no		May-November	June-September	nectar	32	48	40.0	aposematic
Lycaena	mariposa	Lycaenidae	Lycaeninae	yes	natural	G5		1	1	1	1		cryptic	yes				nectar	29	32	30.5	aposematic
Lycaena	nivalis	Lycaenidae	Lycaeninae	yes	natural	G5	eggs	1	1	1	1	singly	cryptic	no		June-August (south not specified)	June-August (north not specified)	nectar	25	35	30.0	aposematic
Lycaena	phlaeas	Lycaenidae	Lycaeninae	yes	both	G5	chrysalis	3	3	2	3	singly	cryptic	yes		August-September	June-July	nectar	22	35	28.5	aposematic
Lycaena	rubidus	Lycaenidae	Lycaeninae	yes	natural	G5	eggs	1	1	1	1	singly	cryptic	no		June-August (south not specified)	June-August (south not specified)	nectar	29	41	35.0	aposematic
