Site	Lat	Lon	Merge
Bear Trap Junction, MN.	46.8833	-92.4833	NA
Beardstown, IL.	39.9484	-90.4278	NA
Beartooth Butte, WY.	44.93	-109.6	NA
Beaver Creek Reserve, WI.	44.8134	-91.2701	NA
Beaver Meadow, NY.	42.67	-78.37	NA
Beavercreek Wildlife Area, OH.	39.83	-84.02	NA
Beaverhill Bird Observatory, AB, Canada.	53.38	-112.52	NA
Belleplain, NJ.	39.25	-74.9333	NA
Bemidji, MN.	47.4601	-94.8837	NA
Benicia, CA.	38.0691	-122.1847	NA
Bennet Hills	43.0833	-115.0663	NA
Benton County, WA.	46.25	-119.75	NA
Bentonville, VA.	38.82	-78.33	NA
Berger	42.4409	-114.7184	NA
Berkeley, CA.	37.872	-122.2577	NA
Bidwell Park, CA.	39.73	-121.86	NA
Big Bend National Park, TX.	29.25	-103.3	NA
Big Bend Reach	40.774	-98.4926	NA
Big Bend Wildlife Management Area	29.9956	-83.7759	NA
Big Black Mountain, KY/VA.	37	-83	NA
Big Chico Creek Ecological Reserve	39.8445	-121.7021	NA
Big Oak Tree State Park	36.6743	-89.2646	NA
Big Pine Key, FL.	24.6908	-81.3699	NA
Big Tancook Island, Lunenberg County, NS, Canada.	44.45	-64.17	NA
Big Thicket	30.56	-94.38	NA
Binghamton, NY.	42.1167	-75.9	NA
Black Mesa Preserve, OK.	36.9	-102.94	NA
Blackfoot Valley, MT.	47.08	-112.92	NA
Blackstone Valley Corridor, MA.	42.1243	-71.6117	NA
Blackwater River State Forest, FL.	30.8505	-86.789	NA
Block Island, RI.	41.17	-71.55	NA
Blowing Rock, NC.	36.07	-81.72	NA
Blue Lake, CA.	40.87	-124	NA
Blue Mounds, MN.	43.7035	-96.1127	NA
Blue Ridge Mountains, VA.	37.82	-78.88	NA
Blue Ridge Parkway, VA.	37.9609	-79.0326	NA
Bluestem, MN.	46.8552	-96.4734	NA
Boehler Seeps and Sandhills, OK.	34.17	-95.88	NA
Boerne	29.8667	-98.7833	NA
Boise Front, ID.	43.7127	-116.144	NA
Bok Tower, FL.	27.8646	-81.6431	NA
Bond Swamp National Wildlife Refuge, GA.	32.7288	-83.5765	NA
Bong Recreation Area, WI.	42.63	-88.12	NA
Bonnet Carre Spillway, LA.	30	-90.4583	NA
Boone Co.	39.9971	-86.346	NA
